1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
247	-0.361977	5.019909	1393.107169	0.000306	1.0
248	-0.376188	4.381324	1428.157241	0.000617	0.9
249	-0.333954	3.639837	1471.134796	0.000540	1.0
250	-0.346084	2.898852	1516.747384	0.000391	1.0
251	-0.322352	2.157365	1565.312855	0.000160	0.9
252	-0.359510	1.430452	1616.040617	0.000402	0.9
253	-0.340710	2.229755	1560.434970	0.000510	0.9
254	-0.314963	1.488400	1611.876398	0.000448	0.9
255	-0.349656	2.466938	1544.663433	0.000596	0.9
256	-0.340920	3.466864	1481.535268	0.000421	0.9
257	-0.351836	2.725378	1527.837494	0.000393	0.9
258	-0.360703	1.983892	1577.127211	0.000353	0.9
259	-0.327128	1.242412	1629.702846	0.000176	0.9
260	-0.349949	0.653722	1674.008801	0.000266	1.0
261	-0.338286	0.823269	1661.003287	0.000420	1.1
262	-0.372736	0.082051	1719.402002	0.000506	0.8
263	-0.332143	0.000000	1726.120067	0.000527	0.8
264	-0.357037	0.000000	1726.120067	0.000219	0.8
265	-0.330474	0.000000	1726.120067	0.000435	0.8
266	-0.348944	0.000000	1726.120067	0.000699	0.8
267	-0.353473	0.000000	1726.120067	0.000709	0.9
268	-0.368733	0.000000	1726.120067	0.000525	0.9
269	-0.381624	0.000000	1726.120067	0.000327	0.9
270	-0.350141	0.578323	1679.858103	0.000590	1.1
271	-0.338848	0.000000	1726.120067	0.000467	1.1
272	-0.354908	0.000000	1726.120067	0.000376	0.9
273	-0.348405	0.000000	1726.120067	0.000260	0.8
274	-0.353032	0.939602	1652.195962	0.000555	0.9
275	-0.331438	1.939521	1580.177801	0.000644	0.9
276	-0.352724	1.203744	1632.540943	0.000370	0.9
277	-0.364109	0.462257	1688.942649	0.000406	0.9
278	-0.329946	1.345076	1622.215188	0.000575	1.0
279	-0.334591	2.345076	1552.726650	0.000639	0.9
280	-0.328834	1.603589	1603.662219	0.000511	0.9
281	-0.349491	2.603589	1535.720762	0.000401	1.0
282	-0.330749	3.603577	1473.302921	0.000783	0.9
283	-0.356356	4.011114	1449.296533	0.000479	0.8
284	-0.354125	3.269627	1493.575522	0.000558	0.9
285	-0.326263	3.113982	1503.215918	0.000313	0.8
